266910 970877351
360
 740232 32625 284981
65 513702 878171 762235 
329 828752 863658 479809 
221 595741 135500 502815 
401 480025 738923 576654 
663 996295 416652 262562 
209 899314 854336 421291 
311 121246 908520 892963 
233 457496 694295 888742 
473 572466 650976 874233 
657 30985 354042 855599 
329 489541 874766 742837 
331 613688 319491 613489 
683 736142 392402 841478 
173 246737 779121 457795 
603 687640 350757 745811 
189 45052 150904 116331 
697 801879 506915 567789 
109 860956 423387 975939 
417 814504 235127 352766 
543 554617 966254 554525 
619 358655 912355 475269 
141 691475 449415 489725 
371 800171 235535 40600 
27 386438 673282 11794 
215 180196 579582 53882 
303 519321 546172 424352 
207 781298 777117 278367 
293 743370 349244 175728 
607 261598 167348 223766 
687 616762 713490 364889 
169 465376 405488 811210 
89 595121 823004 589184 
631 402585 159417 332819 
673 705588 757170 772081 
75 50638 566799 371856 
413 916042 63935 412382 
301 231283 152500 163414 
471 865989 528302 814032 
633 933789 625242 215881 
681 964597 805065 336929 
25 964481 669747 321790 
521 943269 93870 706010 
131 177020 77865 304265 
443 658151 232998 787052 
705 385497 950466 770181 
171 478767 584212 99202 
695 725805 315082 974168 
401 636498 311096 573934 
37 497195 895723 303751 
509 505944 9760 950720 
565 603976 771336 776024 
91 4334 79428 667911 
379 29893 438091 157667 
261 538654 256868 953918 
277 88302 444438 954859 
541 271885 45144 358481 
237 940866 662231 725893 
561 671990 192965 646124 
649 480652 938499 54443 
129 534278 722353 391167 
579 160443 548833 105533 
671 322053 575802 479906 
147 20239 951117 167856 
151 996260 526337 577554 
75 188567 819799 416638 
217 529115 579113 169225 
411 33964 223667 11103 
481 946019 402269 648763 
25 951101 754295 321909 
305 846448 801814 199858 
13 752930 367714 191514 
603 894050 769067 719019 
335 105217 652008 492228 
245 747473 661453 160449 
391 885119 171551 866028 
259 90171 514790 970302 
141 785436 808562 830776 
647 126728 30633 14922 
497 914698 206435 661550 
437 491853 896920 440419 
283 548928 932646 264104 
303 594098 940904 594187 
